0.0003273487,9.5129e-05,0.000305891,0.0003077984,0.0002918243,0.0002701283,0.0002799034,0.0003120899
0.0013380051,0.0002140999,0.0011248589,0.001087904,0.0006210804,0.0007371902,0.0006089211,0.000674963
0.0024261475,0.0004909039,0.0023379326,0.0023500919,0.0009741783,0.0010738373,0.000962019,0.0011079311
0.0042080879,0.0004501343,0.0042161942,0.0040850639,0.0013561249,0.002368927,0.0013318062,0.0016140938
0.0065369606,0.0007150173,0.0062291622,0.0063271523,0.0017127991,0.0017058849,0.0017180443,0.0020730495
0.0090999603,0.0007538795,0.0089879036,0.0089669228,0.0022578239,0.0020349026,0.0021121502,0.0025038719
0.0122959614,0.0023210049,0.0120677948,0.0123047829,0.0026056767,0.0023241043,0.0026578903,0.0029089451
0.0159950256,0.0011622906,0.0155770779,0.0157380104,0.0030090809,0.002767086,0.0029921532,0.0032479763
0.0218451023,0.0013842583,0.0197908878,0.0199642181,0.0033900738,0.0032129288,0.0033757687,0.0038073063
0.0006129742,0.0001149178,0.0003218651,0.000328064,0.0003111362,0.0002760887,0.0002939701,0.0003170967
0.0012769699,0.0002281666,0.0011081696,0.0011920929,0.0012731552,0.0007989407,0.0011327267,0.0009539127
0.0030021667,0.0007133484,0.0026881695,0.0025029182,0.0010311604,0.001128912,0.0010061264,0.0010859966
0.0056357384,0.0004942417,0.0042858124,0.0043110847,0.0014300346,0.0037691593,0.0014338493,0.0017626286
0.00689888,0.0007557869,0.0072181225,0.0069029331,0.00177598,0.0026721954,0.0019600391,0.0024142265
0.0097210407,0.0011329651,0.0094809532,0.0117008686,0.0023219585,0.0020861626,0.0022370815,0.0033330917
0.0129311085,0.0031740665,0.0130319595,0.0129051208,0.0026171207,0.0030691624,0.002674818,0.0030217171
0.0168337822,0.0011980534,0.0164539814,0.0167491436,0.0030558109,0.0030400753,0.0030510426,0.0036561489
0.0231070518,0.0013890266,0.0206680298,0.0207769871,0.0034348965,0.0037639141,0.0034241676,0.0039057732
2.19345e-05,1.28746e-05,1.3113e-05,1.09673e-05,3.21865e-05,2.21729e-05,2.21729e-05,2.16961e-05
1.28746e-05,1.3113e-05,1.19209e-05,1.40667e-05,2.31266e-05,2.26498e-05,2.38419e-05,0.0001850128
